audio_name,applied_effects,GA_effects,similarity_indv,best_fit
22.mp3,"{2: {'drive_db': 13.19}, 4: {'depth': 0.2}, 3: {'gain_db': -1.66}, 0: {'rate_hz': 9.73}, 5: {'wet_level': 0.2}, 1: {'delay_seconds': 4.35}}","{0: {'rate_hz': 13.6}, 4: {'depth': 0.37}, 5: {'wet_level': 0.21}, 3: {'gain_db': 2.07}, 1: {'delay_seconds': 1.66}, 2: {'drive_db': 16.97}}",0.6826659856006507,
23.mp3,"{3: {'gain_db': -5.9}, 2: {'drive_db': 4.7}, 5: {'wet_level': 0.2}, 1: {'delay_seconds': 2.64}, 0: {'rate_hz': 18.15}}","{3: {'gain_db': -4.53}, 0: {'rate_hz': 11.97}, 2: {'drive_db': 18.76}, 1: {'delay_seconds': 4.49}, 4: {'depth': 0.49}}",0.39737931104241264,
24.mp3,{4: {'depth': 0.42}},{},0.0,
25.mp3,"{4: {'depth': 0.49}, 5: {'wet_level': 0.54}, 1: {'delay_seconds': 4.04}, 3: {'gain_db': -5.07}, 0: {'rate_hz': 5.52}, 2: {'drive_db': 2.07}}","{2: {'drive_db': 1.87}, 3: {'gain_db': -4.78}, 4: {'depth': 0.45}, 0: {'rate_hz': 1.73}, 5: {'wet_level': 0.53}, 1: {'delay_seconds': 3.58}}",0.9169208350696276,
26.mp3,"{4: {'depth': 0.23}, 3: {'gain_db': -7.1}, 5: {'wet_level': 0.44}, 0: {'rate_hz': 14.75}, 2: {'drive_db': 16.59}, 1: {'delay_seconds': 1.92}}","{2: {'drive_db': 12.43}, 0: {'rate_hz': 12.17}}",0.2623885466365621,
27.mp3,"{2: {'drive_db': 10.69}, 5: {'wet_level': 0.27}, 0: {'rate_hz': 15.17}, 1: {'delay_seconds': 4.56}, 3: {'gain_db': 9.46}, 4: {'depth': 0.3}}","{5: {'wet_level': 0.59}, 1: {'delay_seconds': 2.97}, 0: {'rate_hz': 9.91}}",0.22248030648223205,
28.mp3,"{5: {'wet_level': 0.51}, 1: {'delay_seconds': 2.14}, 0: {'rate_hz': 2.76}}","{5: {'wet_level': 0.48}, 1: {'delay_seconds': 4.76}, 0: {'rate_hz': 11.08}, 3: {'gain_db': 4.03}, 2: {'drive_db': 12.94}, 4: {'depth': 0.54}}",0.25708232443594803,
29.mp3,"{0: {'rate_hz': 9.42}, 2: {'drive_db': 16.52}, 1: {'delay_seconds': 2.9}, 4: {'depth': 0.56}, 5: {'wet_level': 0.36}}","{3: {'gain_db': 2.81}, 0: {'rate_hz': 5.14}, 5: {'wet_level': 0.29}, 1: {'delay_seconds': 2.74}, 2: {'drive_db': 9.21}}",0.5806704666054874,
30.mp3,{4: {'depth': 0.2}},"{0: {'rate_hz': 3.39}, 4: {'depth': 0.27}}",0.4125,
31.mp3,"{3: {'gain_db': -3.51}, 0: {'rate_hz': 11.19}, 2: {'drive_db': 14.63}, 5: {'wet_level': 0.4}, 4: {'depth': 0.42}}","{2: {'drive_db': 7.77}, 3: {'gain_db': 4.27}, 4: {'depth': 0.36}}",0.41146406482545644,
