audio_name,applied_effects,GA_effects,similarity_indv,best_fit
0.mp3,"{2: {'drive_db': 6.59}, 4: {'depth': 0.32}, 5: {'wet_level': 0.57}, 1: {'delay_seconds': 3.48}}","{2: {'drive_db': 8.62}, 3: {'gain_db': -4.1}, 4: {'depth': 0.27}, 1: {'delay_seconds': 2.43}}",0.5814963770677637,43.88102516386968
1.mp3,"{2: {'drive_db': 12.68}, 5: {'wet_level': 0.38}, 4: {'depth': 0.29}, 0: {'rate_hz': 9.49}}","{4: {'depth': 0.44}, 5: {'wet_level': 0.29}, 0: {'rate_hz': 3.83}, 1: {'delay_seconds': 2.41}, 3: {'gain_db': -0.93}}",0.5907259984639467,19.536520071444
2.mp3,"{0: {'rate_hz': 15.02}, 4: {'depth': 0.36}}","{0: {'rate_hz': 8.85}, 4: {'depth': 0.56}}",0.8145800437245623,40.938369175554726
3.mp3,"{1: {'delay_seconds': 2.26}, 2: {'drive_db': 14.18}, 5: {'wet_level': 0.38}, 0: {'rate_hz': 4.11}}","{5: {'wet_level': 0.27}, 2: {'drive_db': 12.7}, 0: {'rate_hz': 2.43}, 1: {'delay_seconds': 3.04}}",0.8916186431229128,14.285341229079656
4.mp3,"{1: {'delay_seconds': 3.99}, 4: {'depth': 0.26}, 3: {'gain_db': 2.76}, 0: {'rate_hz': 2.55}, 5: {'wet_level': 0.54}}","{4: {'depth': 0.56}, 3: {'gain_db': 4.54}, 2: {'drive_db': 14.59}, 5: {'wet_level': 0.23}}",0.4661311109076116,54.43156822752829
5.mp3,"{2: {'drive_db': 4.27}, 0: {'rate_hz': 6.09}, 3: {'gain_db': -3.47}}","{4: {'depth': 0.36}, 2: {'drive_db': 1.7}}",0.6902057806650786,2.0811714913531927
6.mp3,"{0: {'rate_hz': 8.77}, 3: {'gain_db': 0.93}, 1: {'delay_seconds': 1.33}, 4: {'depth': 0.41}, 5: {'wet_level': 0.26}, 2: {'drive_db': 18.85}}","{4: {'depth': 0.46}, 2: {'drive_db': 17.74}, 3: {'gain_db': -2.06}, 0: {'rate_hz': 14.1}}",0.7543949741888336,8.156488164800932
7.mp3,"{5: {'wet_level': 0.54}, 3: {'gain_db': 1.59}, 0: {'rate_hz': 2.18}, 2: {'drive_db': 6.77}}","{4: {'depth': 0.48}, 5: {'wet_level': 0.25}, 1: {'delay_seconds': 1.87}, 3: {'gain_db': -7.3}}",0.5278540813281146,13.963005308896795
8.mp3,"{0: {'rate_hz': 2.45}, 4: {'depth': 0.24}, 5: {'wet_level': 0.3}, 3: {'gain_db': 2.38}}",{4: {'depth': 0.38}},0.6577983794981764,29.57087682573048
9.mp3,{3: {'gain_db': 8.18}},{2: {'drive_db': 7.96}},0.5948899326520425,0.0547769168201923
10.mp3,"{2: {'drive_db': 6.59}, 0: {'rate_hz': 18.59}}","{4: {'depth': 0.41}, 1: {'delay_seconds': 2.66}, 0: {'rate_hz': 14.17}, 2: {'drive_db': 18.09}, 5: {'wet_level': 0.33}, 3: {'gain_db': 4.75}}",0.42614742101528597,27.514434380290584
