audio_name,applied_effects,GA_effects,similarity_indv,best_fit,similarity_indv_effects_only
24.mp3,{4: {'depth': 0.42}},{},,26.239306189662784,
25.mp3,"{4: {'depth': 0.49}, 5: {'wet_level': 0.54}, 1: {'delay_seconds': 4.04}, 3: {'gain_db': -5.07}, 0: {'rate_hz': 5.52}, 2: {'drive_db': 2.07}}",{4: {'depth': 0.38}},,150.62390077865277,
26.mp3,"{4: {'depth': 0.23}, 3: {'gain_db': -7.1}, 5: {'wet_level': 0.44}, 0: {'rate_hz': 14.75}, 2: {'drive_db': 16.59}, 1: {'delay_seconds': 1.92}}","{3: {'gain_db': -1.08}, 1: {'delay_seconds': 1.41}, 5: {'wet_level': 0.27}, 0: {'rate_hz': 17.15}}",,49.77461753393888,
27.mp3,"{2: {'drive_db': 10.69}, 5: {'wet_level': 0.27}, 0: {'rate_hz': 15.17}, 1: {'delay_seconds': 4.56}, 3: {'gain_db': 9.46}, 4: {'depth': 0.3}}","{2: {'drive_db': 6.62}, 4: {'depth': 0.5}, 5: {'wet_level': 0.32}}",,151.75475870689576,
28.mp3,"{5: {'wet_level': 0.51}, 1: {'delay_seconds': 2.14}, 0: {'rate_hz': 2.76}}",{},,108.49046036698601,
29.mp3,"{0: {'rate_hz': 9.42}, 2: {'drive_db': 16.52}, 1: {'delay_seconds': 2.9}, 4: {'depth': 0.56}, 5: {'wet_level': 0.36}}","{4: {'depth': 0.48}, 1: {'delay_seconds': 3.26}, 5: {'wet_level': 0.29}, 0: {'rate_hz': 10.39}, 2: {'drive_db': 4.14}, 3: {'gain_db': 2.48}}",,9.246007354744046,
30.mp3,{4: {'depth': 0.2}},{},,13.164291232292584,
31.mp3,"{3: {'gain_db': -3.51}, 0: {'rate_hz': 11.19}, 2: {'drive_db': 14.63}, 5: {'wet_level': 0.4}, 4: {'depth': 0.42}}","{1: {'delay_seconds': 1.38}, 2: {'drive_db': 14.94}, 3: {'gain_db': 1.61}, 5: {'wet_level': 0.43}}",,85.87515831473827,
32.mp3,"{5: {'wet_level': 0.21}, 2: {'drive_db': 19.19}, 1: {'delay_seconds': 1.34}, 4: {'depth': 0.27}}",{},,58.140742218337834,
33.mp3,"{4: {'depth': 0.34}, 3: {'gain_db': -4.02}, 5: {'wet_level': 0.45}, 2: {'drive_db': 5.08}, 0: {'rate_hz': 6.06}, 1: {'delay_seconds': 1.06}}","{3: {'gain_db': -8.95}, 2: {'drive_db': 16.62}, 4: {'depth': 0.49}, 1: {'delay_seconds': 3.35}, 5: {'wet_level': 0.23}, 0: {'rate_hz': 7.7}}",,45.81693374703783,
34.mp3,"{0: {'rate_hz': 15.72}, 4: {'depth': 0.47}, 1: {'delay_seconds': 3.52}, 2: {'drive_db': 12.49}, 3: {'gain_db': 0.82}}",{0: {'rate_hz': 5.95}},,35.47872332252623,
35.mp3,"{5: {'wet_level': 0.3}, 4: {'depth': 0.56}}",{},,38.385581898368486,
36.mp3,{4: {'depth': 0.45}},{},,23.204655464344096,
37.mp3,{4: {'depth': 0.6}},{},,1.651552234343688,
38.mp3,"{4: {'depth': 0.3}, 1: {'delay_seconds': 2.41}, 5: {'wet_level': 0.52}}","{0: {'rate_hz': 6.04}, 4: {'depth': 0.44}, 5: {'wet_level': 0.49}, 3: {'gain_db': 7.96}}",,27.2750341088588,
39.mp3,"{4: {'depth': 0.56}, 1: {'delay_seconds': 3.09}, 3: {'gain_db': 5.86}, 2: {'drive_db': 13.8}, 5: {'wet_level': 0.41}}",{},,91.08751206952665,
40.mp3,"{1: {'delay_seconds': 1.32}, 5: {'wet_level': 0.32}, 3: {'gain_db': 6.02}, 0: {'rate_hz': 14.36}, 4: {'depth': 0.38}}",{},,137.50204276046716,
41.mp3,"{3: {'gain_db': -0.16}, 4: {'depth': 0.43}, 1: {'delay_seconds': 1.55}, 5: {'wet_level': 0.41}}","{0: {'rate_hz': 14.06}, 1: {'delay_seconds': 1.61}, 4: {'depth': 0.31}}",,74.63922746364207,
42.mp3,"{2: {'drive_db': 17.01}, 5: {'wet_level': 0.27}, 1: {'delay_seconds': 2.41}, 0: {'rate_hz': 17.98}, 3: {'gain_db': -7.26}}","{1: {'delay_seconds': 3.42}, 3: {'gain_db': -6.25}, 4: {'depth': 0.48}, 0: {'rate_hz': 1.59}, 2: {'drive_db': 6.96}}",,83.33745295150418,
43.mp3,"{3: {'gain_db': 8.76}, 2: {'drive_db': 1.74}, 5: {'wet_level': 0.53}, 0: {'rate_hz': 8.18}}",{},,132.74151606982278,
44.mp3,"{5: {'wet_level': 0.34}, 2: {'drive_db': 4.18}, 3: {'gain_db': 9.74}, 4: {'depth': 0.42}}",{},,1.055471983360215,
45.mp3,"{2: {'drive_db': 13.45}, 5: {'wet_level': 0.23}, 3: {'gain_db': 5.67}, 0: {'rate_hz': 14.64}, 4: {'depth': 0.47}, 1: {'delay_seconds': 4.91}}",{0: {'rate_hz': 5.99}},,38.833182930650224,
46.mp3,"{4: {'depth': 0.45}, 1: {'delay_seconds': 1.1}, 5: {'wet_level': 0.43}, 2: {'drive_db': 14.28}, 3: {'gain_db': -1.52}}",{5: {'wet_level': 0.4}},,67.2284448455797,
47.mp3,"{4: {'depth': 0.59}, 1: {'delay_seconds': 2.22}, 0: {'rate_hz': 15.89}}","{3: {'gain_db': 9.52}, 5: {'wet_level': 0.49}, 4: {'depth': 0.47}, 1: {'delay_seconds': 2.14}, 0: {'rate_hz': 8.58}}",,47.78773962309182,
48.mp3,"{4: {'depth': 0.42}, 2: {'drive_db': 15.25}, 0: {'rate_hz': 5.63}}",{0: {'rate_hz': 5.41}},,39.13381608556948,
