audio_name,applied_effects,GA_effects,similarity_indv,best_fit,similarity_indv_effects_only
104.mp3,"{4: {'depth': 0.24}, 3: {'gain_db': 8.96}, 0: {'rate_hz': 6.1}, 5: {'wet_level': 0.58}}","{0: {'rate_hz': 6.12}, 5: {'wet_level': 0.23}}",0.2693771298750473,1.6212853186182432,0.5
105.mp3,{0: {'rate_hz': 2.47}},{0: {'rate_hz': 2.33}},0.9920136908157444,3.914853480228044,1.0
106.mp3,"{0: {'rate_hz': 6.42}, 1: {'delay_seconds': 4.62}, 4: {'depth': 0.51}}","{0: {'rate_hz': 8.82}, 3: {'gain_db': 8.42}, 1: {'delay_seconds': 4.53}, 4: {'depth': 0.45}, 2: {'drive_db': 17.34}}",0.5209718496882701,20.773587221938985,0.6000000000000001
107.mp3,"{4: {'depth': 0.4}, 1: {'delay_seconds': 1.04}, 2: {'drive_db': 15.85}, 0: {'rate_hz': 9.33}}","{1: {'delay_seconds': 1.98}, 0: {'rate_hz': 1.95}, 5: {'wet_level': 0.36}, 3: {'gain_db': 6.24}, 2: {'drive_db': 1.39}}",0.21944600645631576,7.1796473000591785,0.6000000000000001
108.mp3,"{1: {'delay_seconds': 4.65}, 2: {'drive_db': 16.74}, 4: {'depth': 0.35}, 0: {'rate_hz': 14.31}}","{1: {'delay_seconds': 4.64}, 0: {'rate_hz': 12.85}, 4: {'depth': 0.31}, 3: {'gain_db': -0.0}}",0.6818920782602431,3.867114675593736,0.75
109.mp3,"{1: {'delay_seconds': 2.09}, 3: {'gain_db': 2.14}, 4: {'depth': 0.35}, 2: {'drive_db': 15.74}, 0: {'rate_hz': 14.87}}","{0: {'rate_hz': 2.68}, 2: {'drive_db': 1.82}, 1: {'delay_seconds': 2.59}, 4: {'depth': 0.2}}",0.28098687200366534,0.6072037167089194,0.8
110.mp3,"{2: {'drive_db': 14.88}, 4: {'depth': 0.35}}","{4: {'depth': 0.31}, 2: {'drive_db': 13.26}}",0.86164265129683,0.4073529483079031,1.0
111.mp3,"{0: {'rate_hz': 19.35}, 5: {'wet_level': 0.21}}",{0: {'rate_hz': 18.42}},0.47465940054495914,0.0531511338730287,0.5
112.mp3,"{4: {'depth': 0.58}, 2: {'drive_db': 13.77}}","{4: {'depth': 0.59}, 2: {'drive_db': 15.22}}",0.9300684169311296,1.4250342740557145,1.0
113.mp3,"{2: {'drive_db': 13.77}, 4: {'depth': 0.37}, 0: {'rate_hz': 16.54}, 1: {'delay_seconds': 2.92}, 5: {'wet_level': 0.58}}","{4: {'depth': 0.45}, 5: {'wet_level': 0.46}, 2: {'drive_db': 5.33}, 0: {'rate_hz': 10.97}, 1: {'delay_seconds': 2.91}}",0.6624445695802557,0.3636717561478342,1.0
114.mp3,"{3: {'gain_db': 5.33}, 5: {'wet_level': 0.36}, 1: {'delay_seconds': 3.68}, 2: {'drive_db': 1.46}, 0: {'rate_hz': 12.05}}","{0: {'rate_hz': 8.95}, 3: {'gain_db': -9.17}, 5: {'wet_level': 0.51}}",0.2297198436803594,0.0633133353573159,0.6000000000000001
115.mp3,"{4: {'depth': 0.49}, 5: {'wet_level': 0.52}}","{4: {'depth': 0.48}, 5: {'wet_level': 0.51}, 3: {'gain_db': 6.58}, 2: {'drive_db': 4.1}}",0.48356681034482757,2.6282877687318456,0.5
116.mp3,"{3: {'gain_db': -6.71}, 4: {'depth': 0.59}, 5: {'wet_level': 0.28}}","{2: {'drive_db': 16.61}, 3: {'gain_db': 3.97}, 4: {'depth': 0.32}, 1: {'delay_seconds': 2.09}, 0: {'rate_hz': 1.13}}",0.1337108134235603,1.2677189310829422,0.4
117.mp3,{2: {'drive_db': 19.82}},{2: {'drive_db': 18.3}},0.9192348565356004,0.2957145189298265,1.0
118.mp3,"{3: {'gain_db': -7.43}, 2: {'drive_db': 2.34}, 4: {'depth': 0.22}, 1: {'delay_seconds': 2.77}}","{3: {'gain_db': -3.31}, 2: {'drive_db': 12.1}, 1: {'delay_seconds': 4.45}, 4: {'depth': 0.28}}",0.57492664627638,0.0212224239459464,1.0
119.mp3,"{4: {'depth': 0.6}, 1: {'delay_seconds': 1.34}, 2: {'drive_db': 9.83}, 3: {'gain_db': -6.25}, 5: {'wet_level': 0.49}}","{5: {'wet_level': 0.52}, 4: {'depth': 0.48}, 1: {'delay_seconds': 1.38}}",0.5171245524778595,8.597711239764452,0.6000000000000001
120.mp3,"{2: {'drive_db': 19.32}, 3: {'gain_db': 8.5}, 4: {'depth': 0.21}}","{4: {'depth': 0.32}, 3: {'gain_db': -9.23}}",0.25319011319011314,1.5343077092699375,0.6666666666666666
121.mp3,"{1: {'delay_seconds': 2.37}, 4: {'depth': 0.27}, 0: {'rate_hz': 3.7}, 5: {'wet_level': 0.49}}","{1: {'delay_seconds': 2.38}, 0: {'rate_hz': 3.69}, 4: {'depth': 0.23}, 2: {'drive_db': 19.64}, 5: {'wet_level': 0.57}}",0.7197020063042051,2.2106070000562945,0.8
122.mp3,"{2: {'drive_db': 17.21}, 3: {'gain_db': -7.86}, 5: {'wet_level': 0.47}, 1: {'delay_seconds': 4.31}}","{5: {'wet_level': 0.38}, 1: {'delay_seconds': 4.35}, 2: {'drive_db': 10.38}}",0.5583093064157306,0.9414665836764984,0.75
123.mp3,{4: {'depth': 0.31}},"{4: {'depth': 0.31}, 2: {'drive_db': 8.6}}",0.5,1.6272919737106746,0.5
124.mp3,{0: {'rate_hz': 9.95}},{0: {'rate_hz': 10.31}},0.9641791044776118,0.182382616115912,1.0
125.mp3,"{5: {'wet_level': 0.51}, 2: {'drive_db': 4.42}}",{5: {'wet_level': 0.52}},0.4838709677419355,0.0216022110887755,0.5
126.mp3,"{2: {'drive_db': 12.5}, 3: {'gain_db': 4.58}, 1: {'delay_seconds': 3.39}, 5: {'wet_level': 0.33}, 0: {'rate_hz': 19.83}, 4: {'depth': 0.44}}","{1: {'delay_seconds': 3.43}, 4: {'depth': 0.38}, 0: {'rate_hz': 3.33}}",0.3095003855238569,8.555638508058065,0.5
127.mp3,{2: {'drive_db': 1.77}},{2: {'drive_db': 11.28}},0.47833241908941304,0.0802259260790771,1.0
128.mp3,"{1: {'delay_seconds': 1.17}, 0: {'rate_hz': 11.61}}","{0: {'rate_hz': 12.11}, 1: {'delay_seconds': 1.74}, 3: {'gain_db': -1.67}}",0.6013498604285659,3.0063563487233984,0.6666666666666666
129.mp3,"{3: {'gain_db': 9.13}, 4: {'depth': 0.34}}","{4: {'depth': 0.33}, 2: {'drive_db': 10.81}}",0.4807692307692307,1.5898192739431831,0.5
130.mp3,"{4: {'depth': 0.35}, 0: {'rate_hz': 1.56}, 2: {'drive_db': 6.13}, 5: {'wet_level': 0.24}}","{4: {'depth': 0.36}, 5: {'wet_level': 0.21}, 0: {'rate_hz': 1.47}, 3: {'gain_db': -6.64}}",0.7179464931308749,8.88215784082491,0.75
131.mp3,"{0: {'rate_hz': 12.68}, 4: {'depth': 0.31}}","{4: {'depth': 0.32}, 1: {'delay_seconds': 3.03}, 3: {'gain_db': -3.33}, 0: {'rate_hz': 2.71}, 2: {'drive_db': 6.85}}",0.2223842701936703,5.603499328408554,0.4
